Date 	Open 	High 	Low 	Close 	Adj Close 	Volume
Jul 8, 2022 	17.4000 	19.1000 	17.3200 	18.0000 	18.0000 	1,920
Jul 7, 2022 	20.0000 	20.0000 	16.0000 	17.1000 	17.1000 	20,640
Jul 6, 2022 	16.5000 	20.0000 	16.5000 	19.4000 	19.4000 	9,890
Jul 5, 2022 	14.0400 	16.7000 	14.0000 	16.3000 	16.3000 	4,860
Jul 1, 2022 	14.4500 	14.5000 	13.2500 	13.8000 	13.8000 	4,810
Jun 30, 2022 	14.1000 	15.0000 	13.4900 	14.5000 	14.5000 	4,480
Jun 29, 2022 	15.2000 	15.4000 	14.0000 	14.4000 	14.4000 	8,190
Jun 28, 2022 	17.0000 	17.0000 	15.1000 	15.4000 	15.4000 	6,640
Jun 27, 2022 	18.1000 	18.1000 	16.8000 	17.0000 	17.0000 	6,160
Jun 24, 2022 	18.7000 	19.4000 	17.5000 	17.8000 	17.8000 	13,720
Jun 23, 2022 	17.7000 	23.9000 	16.5000 	18.6000 	18.6000 	71,480
Jun 22, 2022 	16.8000 	17.0000 	16.3500 	16.8000 	16.8000 	1,220
Jun 21, 2022 	17.6000 	17.6000 	16.5000 	16.9000 	16.9000 	1,950
Jun 17, 2022 	17.3000 	17.8000 	16.5000 	17.1000 	17.1000 	2,300
Jun 16, 2022 	16.3000 	17.3000 	16.3000 	17.2000 	17.2000 	1,260
Jun 15, 2022 	16.9000 	17.6000 	16.6000 	17.1000 	17.1000 	1,570
Jun 14, 2022 	16.9000 	17.4000 	16.2000 	17.0000 	17.0000 	2,770
Jun 13, 2022 	17.0000 	17.5000 	16.4500 	17.1000 	17.1000 	3,100
Jun 10, 2022 	18.1000 	18.2000 	17.0000 	17.5000 	17.5000 	4,840
Jun 9, 2022 	18.3000 	18.5000 	17.8000 	18.1000 	18.1000 	1,320
Jun 8, 2022 	18.5000 	19.0400 	17.9000 	18.2000 	18.2000 	4,140
Jun 7, 2022 	19.7000 	19.7000 	18.2000 	18.2000 	18.2000 	9,550
Jun 6, 2022 	19.8000 	19.8000 	17.6000 	18.1000 	18.1000 	4,810
Jun 3, 2022 	20.0000 	20.1000 	19.2800 	19.8000 	19.8000 	4,260
Jun 2, 2022 	23.5000 	23.9000 	20.3000 	20.6000 	20.6000 	10,880
Jun 1, 2022 	26.0000 	26.0000 	22.5000 	23.5000 	23.5000 	3,140
May 31, 2022 	28.0000 	28.0000 	25.4000 	25.6000 	25.6000 	900
May 27, 2022 	25.7000 	27.0000 	25.5000 	26.4000 	26.4000 	2,040
May 26, 2022 	25.7000 	26.0000 	25.0000 	25.4000 	25.4000 	3,090
May 25, 2022 	25.0000 	25.7500 	25.0000 	25.4000 	25.4000 	1,810
May 24, 2022 	26.7000 	26.9000 	25.1000 	25.2000 	25.2000 	1,310
May 23, 2022 	28.7000 	28.8000 	26.1000 	27.2000 	27.2000 	1,120
May 20, 2022 	29.5000 	29.5000 	28.2500 	28.6000 	28.6000 	1,090
May 19, 2022 	30.9000 	34.3500 	29.2000 	29.3000 	29.3000 	3,540
May 18, 2022 	27.9000 	30.8000 	27.9000 	28.8000 	28.8000 	2,820
May 17, 2022 	28.7000 	29.0000 	27.3000 	28.8000 	28.8000 	2,530
May 16, 2022 	26.8400 	28.7000 	26.6500 	28.6000 	28.6000 	2,770
May 13, 2022 	25.3000 	27.4000 	25.3000 	26.2000 	26.2000 	5,230
May 12, 2022 	25.5000 	28.5000 	25.5000 	26.3000 	26.3000 	1,980
May 11, 2022 	27.7000 	28.4500 	26.5000 	26.5000 	26.5000 	2,450
May 10, 2022 	31.7000 	31.7000 	27.0000 	28.7000 	28.7000 	8,070
May 9, 2022 	34.0000 	34.0000 	30.2200 	30.5000 	30.5000 	1,850
May 6, 2022 	32.2000 	33.3000 	32.2000 	33.0000 	33.0000 	1,370
May 5, 2022 	34.5000 	34.5000 	32.2000 	32.2000 	32.2000 	1,150
May 4, 2022 	36.3000 	38.1000 	35.0000 	35.5000 	35.5000 	4,440
May 3, 2022 	35.6000 	36.5000 	35.3000 	35.6000 	35.6000 	680
May 2, 2022 	36.7000 	38.5000 	35.0000 	36.0000 	36.0000 	1,050
Apr 29, 2022 	38.8000 	39.8000 	37.0000 	37.2000 	37.2000 	2,610
Apr 28, 2022 	41.5000 	41.5000 	38.5000 	38.5000 	38.5000 	2,660
Apr 27, 2022 	39.9000 	41.5000 	38.7000 	40.7000 	40.7000 	1,640
Apr 26, 2022 	41.9500 	41.9500 	38.0000 	40.0000 	40.0000 	4,700
Apr 25, 2022 	39.2000 	42.3000 	38.2100 	40.2000 	40.2000 	2,460
Apr 22, 2022 	40.0000 	40.8300 	38.0000 	39.2000 	39.2000 	2,060
Apr 21, 2022 	43.1000 	43.5000 	38.3000 	39.8000 	39.8000 	1,910
Apr 20, 2022 	43.5000 	44.0000 	42.5000 	43.3000 	43.3000 	1,240
Apr 19, 2022 	47.1000 	47.1000 	42.6700 	43.1000 	43.1000 	3,730
Apr 18, 2022 	46.2000 	48.1000 	42.7000 	44.0000 	44.0000 	1,910
Apr 14, 2022 	45.9000 	48.1000 	43.7000 	44.2000 	44.2000 	2,700
Apr 13, 2022 	43.5000 	47.9000 	42.5000 	44.1000 	44.1000 	4,250
Apr 12, 2022 	47.8000 	47.8000 	43.2600 	43.3000 	43.3000 	4,940
Apr 11, 2022 	48.9000 	49.9000 	46.6000 	47.9000 	47.9000 	2,410
